arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
piccolo/table.py,funcao,columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,default_columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,non_default_columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,array_columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,email_columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,foreign_key_columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,primary_key,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,json_columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,secret_columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,auto_update_columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,m2m_relationships,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,get_formatted_tablename,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/table.py,funcao,foreign_key_references,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,db,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,refresh_db,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/table.py,funcao,get_column_by_name,4,9,5,10,13,15,36.5293,55.5066,2.2222,123.348,6.8527,0.0185
piccolo/table.py,funcao,get_auto_update_values,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,__repr__,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
piccolo/table.py,funcao,__init_subclass__,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
piccolo/table.py,funcao,_process_tablename,2,4,3,6,6,9,10.0,23.2647,1.5,34.897,1.9387,0.0078
piccolo/table.py,funcao,_classify_columns,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/table.py,funcao,_setup_foreign_keys,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,__init__,4,10,8,15,14,23,41.2193,87.5692,3.0,262.7075,14.5949,0.0292
piccolo/table.py,funcao,_create_serial_primary_key,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,from_dict,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,save,3,5,4,6,8,10,16.3645,30.0,1.8,54.0,3.0,0.01
piccolo/table.py,funcao,update_self,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,remove,2,2,2,3,4,5,4.0,10.0,1.5,15.0,0.8333,0.0033
piccolo/table.py,funcao,refresh,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,get_related,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
piccolo/table.py,funcao,get_m2m,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,add_m2m,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,remove_m2m,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,to_dict,2,4,3,6,6,9,10.0,23.2647,1.5,34.897,1.9387,0.0078
piccolo/table.py,funcao,__setitem__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,__getitem__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,_get_related_readable,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,get_readable,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,querystring,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,__eq__,4,8,5,8,12,13,32.0,46.6045,2.0,93.209,5.1783,0.0155
piccolo/table.py,funcao,all_related,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/table.py,funcao,all_columns,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/table.py,funcao,ref,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
piccolo/table.py,funcao,insert,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,raw,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,_process_column_args,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,select,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,delete,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,create_table,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,alter,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,objects,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,count,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,exists,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,table_exists,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,update,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/table.py,funcao,indexes,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,create_index,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,drop_index,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,_get_index_name,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/table.py,funcao,_table_str,5,12,8,16,17,24,54.6292,98.0991,3.3333,326.997,18.1665,0.0327
piccolo/table.py,funcao,create_table_class,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,create_db_tables,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,create_db_tables_sync,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,create_tables,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,drop_db_tables,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/table.py,funcao,drop_db_tables_sync,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,drop_tables,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table.py,funcao,sort_table_classes,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/table.py,funcao,_get_graph,4,5,4,8,9,12,19.6096,38.0391,3.2,121.7251,6.7625,0.0127
piccolo/schema.py,funcao,ddl,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/schema.py,funcao,__await__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/schema.py,funcao,run,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/schema.py,funcao,run_sync,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/schema.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/schema.py,funcao,__init__,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
piccolo/schema.py,funcao,create_schema,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/schema.py,funcao,drop_schema,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/schema.py,funcao,rename_schema,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/schema.py,funcao,move_table,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/schema.py,funcao,list_tables,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/schema.py,funcao,list_schemas,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table_reflection.py,funcao,_immutable,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/table_reflection.py,funcao,__new__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table_reflection.py,funcao,copy,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table_reflection.py,funcao,__reduce__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table_reflection.py,funcao,_insert_item,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table_reflection.py,funcao,_delete_item,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table_reflection.py,funcao,__repr__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table_reflection.py,funcao,__call__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/table_reflection.py,funcao,__init__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/table_reflection.py,funcao,reflect,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/table_reflection.py,funcao,clear,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table_reflection.py,funcao,get_table,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/table_reflection.py,funcao,_add_table,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/table_reflection.py,funcao,_add_to_schema_tables,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/table_reflection.py,funcao,_get_table_name,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/table_reflection.py,funcao,_get_schema_and_table_name,1,4,2,4,5,6,8.0,13.9316,0.5,6.9658,0.387,0.0046
piccolo/table_reflection.py,funcao,_to_list,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,get_select_string,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/querystring.py,funcao,as_alias,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,process_args,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__str__,4,11,7,14,15,21,46.0537,82.0447,2.5455,208.8411,11.6023,0.0273
piccolo/querystring.py,funcao,bundle,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
piccolo/querystring.py,funcao,compile_string,4,8,5,10,12,15,32.0,53.7744,2.5,134.4361,7.4687,0.0179
piccolo/querystring.py,funcao,freeze,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,get_where_string,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__eq__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/querystring.py,funcao,__ne__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/querystring.py,funcao,eq,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,ne,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__or__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__add__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__sub__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__gt__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__ge__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__lt__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__le__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__truediv__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__mul__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__pow__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,__mod__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,is_in,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,not_in,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,like,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/querystring.py,funcao,ilike,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/main.py,funcao,get_diagnose_flag,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/main.py,funcao,main,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
piccolo/testing/model_builder.py,funcao,build,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/model_builder.py,funcao,build_sync,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/model_builder.py,funcao,_build,4,9,6,11,13,17,36.5293,62.9075,2.4444,153.7738,8.543,0.021
piccolo/testing/model_builder.py,funcao,_randomize_attribute,4,10,6,12,14,18,41.2193,68.5324,2.4,164.4777,9.1377,0.0228
piccolo/testing/test_case.py,funcao,setUp,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/test_case.py,funcao,tearDown,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/test_case.py,funcao,asyncSetUp,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
piccolo/testing/test_case.py,funcao,asyncTearDown,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/random_builder.py,funcao,next_bool,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/random_builder.py,funcao,next_bytes,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/testing/random_builder.py,funcao,next_date,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/random_builder.py,funcao,next_datetime,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/random_builder.py,funcao,next_enum,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/random_builder.py,funcao,next_float,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/random_builder.py,funcao,next_decimal,4,9,6,11,13,17,36.5293,62.9075,2.4444,153.7738,8.543,0.021
piccolo/testing/random_builder.py,funcao,next_int,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/random_builder.py,funcao,next_str,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/random_builder.py,funcao,next_email,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/testing/random_builder.py,funcao,next_time,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/random_builder.py,funcao,next_timedelta,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/testing/random_builder.py,funcao,next_uuid,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/constraints.py,funcao,get_fk_constraint_name,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/query/constraints.py,funcao,get_fk_constraint_rules,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/query/base.py,funcao,__enter__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,__exit__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/query/base.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,engine_type,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,_process_results,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,_load_json_columns,4,9,6,11,13,17,36.5293,62.9075,2.4444,153.7738,8.543,0.021
piccolo/query/base.py,funcao,_process_output,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
piccolo/query/base.py,funcao,_validate,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,__await__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,_run,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
piccolo/query/base.py,funcao,run,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
piccolo/query/base.py,funcao,run_sync,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
piccolo/query/base.py,funcao,response_handler,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,sqlite_querystrings,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,postgres_querystrings,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,cockroach_querystrings,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,default_querystrings,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,querystrings,2,6,4,8,8,12,17.5098,36.0,1.3333,48.0,2.6667,0.012
piccolo/query/base.py,funcao,freeze,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,__getattr__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,sqlite_ddl,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,postgres_ddl,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,cockroach_ddl,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,default_ddl,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/base.py,funcao,ddl,1,4,3,6,5,9,8.0,20.8974,0.75,15.673,0.8707,0.007
piccolo/query/mixins.py,funcao,querystring,1,6,4,8,7,12,15.5098,33.6883,0.6667,22.4588,1.2477,0.0112
piccolo/query/mixins.py,funcao,validate_on,2,5,4,5,7,9,13.6096,25.2662,1.0,25.2662,1.4037,0.0084
piccolo/query/mixins.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,copy,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,__post_init__,3,9,7,9,12,16,33.2842,57.3594,1.5,86.0391,4.78,0.0191
piccolo/query/mixins.py,funcao,get_where_columns,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/query/mixins.py,funcao,_extract_columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,where,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,get_order_by_columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,order_by,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/query/mixins.py,funcao,limit,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,as_of,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,distinct,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
piccolo/query/mixins.py,funcao,returning,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,count,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,add,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
piccolo/query/mixins.py,funcao,output,1,5,4,8,6,12,11.6096,31.0196,0.8,24.8156,1.3786,0.0103
piccolo/query/mixins.py,funcao,callback,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,invoke,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,prefetch,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/query/mixins.py,funcao,columns,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/query/mixins.py,funcao,remove_secret_columns,2,4,3,4,6,7,10.0,18.0947,1.0,18.0947,1.0053,0.006
piccolo/query/mixins.py,funcao,values,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,get_sql_values,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,offset,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,group_by,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,target_string,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/mixins.py,funcao,action_string,3,7,5,9,10,14,24.4064,46.507,1.9286,89.6921,4.9829,0.0155
piccolo/query/mixins.py,funcao,on_conflict,3,9,5,10,12,15,33.2842,53.7744,1.6667,89.6241,4.9791,0.0179
piccolo/query/mixins.py,funcao,lock_rows,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/proxy.py,funcao,run,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/proxy.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/proxy.py,funcao,run_sync,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/proxy.py,funcao,__await__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/proxy.py,funcao,freeze,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/proxy.py,funcao,__getattr__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/proxy.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/functions/datetime.py,funcao,__init__,2,5,3,7,7,10,13.6096,28.0735,1.4,39.303,2.1835,0.0094
piccolo/query/functions/datetime.py,funcao,_get_engine_type,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/query/functions/datetime.py,funcao,_extract_component,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/query/functions/datetime.py,funcao,Year,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/functions/datetime.py,funcao,Month,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/functions/datetime.py,funcao,Day,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/functions/datetime.py,funcao,Hour,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/functions/datetime.py,funcao,Minute,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/functions/datetime.py,funcao,Second,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/functions/conditional.py,funcao,__init__,1,3,2,5,4,7,4.7549,14.0,0.8333,11.6667,0.6481,0.0047
piccolo/query/functions/base.py,funcao,__init__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/query/functions/string.py,funcao,__init__,1,3,2,5,4,7,4.7549,14.0,0.8333,11.6667,0.6481,0.0047
piccolo/query/functions/aggregate.py,funcao,__init__,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/query/functions/array.py,funcao,__add__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/functions/array.py,funcao,__radd__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/functions/array.py,funcao,__init__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/query/functions/type_conversion.py,funcao,__init__,2,6,3,6,8,9,17.5098,27.0,1.0,27.0,1.5,0.009
piccolo/query/methods/alter.py,funcao,ddl,1,4,3,6,5,9,8.0,20.8974,0.75,15.673,0.8707,0.007
piccolo/query/methods/alter.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,column_name,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,add_column,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,drop_column,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,drop_default,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,drop_table,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,rename_table,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,rename_constraint,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,rename_column,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,set_column_type,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,set_default,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,set_null,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,set_unique,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,set_length,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
piccolo/query/methods/alter.py,funcao,_get_constraint_name,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,drop_constraint,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,drop_foreign_key_constraint,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,add_foreign_key_constraint,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
piccolo/query/methods/alter.py,funcao,set_digits,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,set_schema,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/alter.py,funcao,default_ddl,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
piccolo/query/methods/select.py,funcao,__init__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/query/methods/select.py,funcao,get_select_string,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,run,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,columns_delegate,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,as_of_delegate,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,lock_rows_delegate,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,where_delegate,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,having_delegate,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,order_by_delegate,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,group_by_delegate,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,distinct_delegate,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,limit_delegate,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,offset_delegate,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,output_delegate,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,callback_delegate,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,distinct,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
piccolo/query/methods/select.py,funcao,group_by,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,as_of,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/query/methods/select.py,funcao,limit,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,first,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,offset,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/query/methods/select.py,funcao,lock_rows,0,0,0,0,0,0,0,0,0,0,0,0
